,c,n,x,y,country,decade
0,0.7652546792616827,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ARB,2000-2010
1,0.9096627778097685,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CSS,2000-2010
2,0.5906404129350986,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CEB,2000-2010
3,0.3114592239496673,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EAR,2000-2010
4,0.25757866424763876,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EAS,2000-2010
5,0.3277599336518089,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EAP,2000-2010
6,0.32993938068823553,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TEA,2000-2010
7,0.9352670182684086,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EMU,2000-2010
8,0.8823833038241673,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ECS,2000-2010
9,0.7494135745431811,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ECA,2000-2010
10,0.7048373347759966,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TEC,2000-2010
11,0.8856080725542255,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EUU,2000-2010
12,-0.455024081714982,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",FCS,2000-2010
13,-0.4594412614479262,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",HPC,2000-2010
14,0.9324762310844507,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",HIC,2000-2010
15,0.4722254427402337,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IBD,2000-2010
16,0.5280654429451994,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IBT,2000-2010
17,0.3172624890777769,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IDB,2000-2010
18,-0.029807878611214915,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IDX,2000-2010
19,0.5179438041898755,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IDA,2000-2010
20,0.7729370750278944,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LTE,2000-2010
